index,n_estimator,learning_rate,accuracy
0,3000.0,0.1,0.8909215120692273
1,3000.0,0.05,0.8892009513688579
2,3000.0,0.01,0.8892009513688579
3,3000.0,0.001,0.8892009513688579
4,3000.0,0.0001,0.8892009513688579
5,5000.0,0.1,0.8909215120692273
6,5000.0,0.05,0.8892009513688579
7,5000.0,0.01,0.8892009513688579
8,5000.0,0.001,0.8892009513688579
9,5000.0,0.0001,0.8892009513688579
10,10000.0,0.1,0.8909215120692273
11,10000.0,0.05,0.8892009513688579
12,10000.0,0.01,0.8892009513688579
13,10000.0,0.001,0.8892009513688579
14,10000.0,0.0001,0.8892009513688579
15,100000.0,0.1,0.8909215120692273
16,100000.0,0.05,0.8892009513688579
17,100000.0,0.01,0.8892009513688579
18,100000.0,0.001,0.8892009513688579
19,100000.0,0.0001,0.8892009513688579
